Audiobook title,Regular price,Star rating
FantasticLand,$29.99,4.5 out of 5 stars
What Lurks Beneath [Dramatized Adaptation],$20.99,4 out of 5 stars
The Stand,$33.44,4.5 out of 5 stars
"The Best Horror of the Year, Volume Eight",$24.95,4 out of 5 stars
Swan Song,$34.75,4.5 out of 5 stars
Leech,$20.90,4 out of 5 stars
The Best of the Best Horror of the Year,$27.39,4 out of 5 stars
Undead,$29.99,4.5 out of 5 stars
Extinction Ashes,$24.95,5 out of 5 stars
End Time,$24.47,4.5 out of 5 stars
Watchers,$27.39,4.5 out of 5 stars
"Bring Me Flesh, I'll Bring Hell",$19.95,4 out of 5 stars
The Hospital: The First Mountain Man Story,$3.99,4 out of 5 stars
Dust: Before and After,$23.07,4.5 out of 5 stars
The Tommyknockers,$28.95,4.5 out of 5 stars
Apocalipsis [The Stand],$39.80,4.5 out of 5 stars
Mountain Man: Prequel,$26.09,5 out of 5 stars
Zombies! Zombies! Zombies!,$34.99,3.5 out of 5 stars
The Final Outbreak,$26.05,4.5 out of 5 stars
Aliens: Bug Hunt,$24.47,4.5 out of 5 stars
